Location ISO Code;Location;New Cases;New Deaths;New Recovered;New Active Cases;Total Cases;Total Deaths;Total Recovered;Total Active Cases;Location Level;City or Regency;Province;Country;Continent;Island;Time Zone;Special Status;Total Regencies;Total Cities;Total Districts;Total Urban Villages;Total Rural Villages;Area (km2);Population;Population Density;Longitude;Latitude;New Cases per Million;Total Cases per Million;New Deaths per Million;Total Deaths per Million;Case Fatality Rate;Case Recovered Rate;Growth Factor of New Cases;Growth Factor of New Deaths;Name;Item;Kind;Hidden
ID-RI;Riau;147;3;144;0;25113;585;23221;1307;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;24.20.00;4134.44.00;00.49;96.31.00;2.33%;92.47%;01.34;01.00;;;;
ID-RI;Riau;166;3;108;55;26332;617;24276;1439;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;27.33.00;4335.13.00;00.49;101.58.00;2.34%;92.19%;01.24;00.43;;;;
ID-RI;Riau;88;2;98;-12;26420;619;24374;1427;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;14.49;4349.62;00.33;101.91;2.34%;92.26%;00.53;0,046527778;;;;
ID-RI;Riau;266;2;78;186;26686;621;24452;1613;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;43.79;4393.41.00;00.33;102.24.00;2.33%;91.63%;03.02;01.00;;;;
ID-RI;Riau;138;5;89;44;26824;626;24541;1657;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;0,966666667;4416.13.00;0,056944444;103.06.00;2.33%;91.49%;00.52;02.50;;;;
ID-RI;Riau;93;1;119;-27;26917;627;24660;1630;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;15.31;4431.44.00;00.16;103.23.00;2.33%;91.61%;0,046527778;00.20;;;;
ID-RI;Riau;170;2;186;-18;27087;629;24846;1612;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;27.99;4459.43.00;00.33;103.55.00;2.32%;91.73%;0,099305556;02.00;;;;
ID-RI;Riau;96;5;166;-75;27183;634;25012;1537;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;0,680555556;4475.23.00;0,056944444;104.38.00;2.33%;92.01%;00.56;02.50;;;;
ID-RI;Riau;188;1;138;49;27371;635;25150;1586;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;30.95;4506.18.00;00.16;104.54.00;2.32%;91.89%;0,108333333;00.20;;;;
ID-RI;Riau;88;6;140;-58;27459;641;25290;1528;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;14.49;4520.67;0,06875;105.53.00;2.33%;92.10%;00.47;06.00;;;;
ID-RI;Riau;167;4;141;22;27626;645;25431;1550;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;27.49.00;4548.16.00;0,045833333;106.19.00;2.33%;92.05%;0,104166667;0,046527778;;;;
ID-RI;Riau;68;6;128;-66;25181;591;23349;1241;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;11.20;4145.63;0,06875;97.30.00;2.35%;92.72%;00.46;02.00;;;;
ID-RI;Riau;122;5;150;-33;27748;650;25581;1517;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;20.09;4568.25.00;0,056944444;107.01.00;2.34%;92.19%;0,050694444;01.25;;;;
ID-RI;Riau;137;5;96;36;27885;655;25677;1553;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;22.55;4590.80;0,056944444;107.83;2.35%;92.08%;01.12;01.00;;;;
ID-RI;Riau;122;1;204;-83;28007;656;25881;1470;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;20.09;4610.89;00.16;108.00.00;2.34%;92.41%;0,061805556;00.20;;;;
ID-RI;Riau;112;7;140;-35;28119;663;26021;1435;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;18.44;4629.33.00;01.15;109.15.00;2.36%;92.54%;0,063888889;07.00;;;;
ID-RI;Riau;153;5;99;49;28272;668;26120;1484;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;25.19.00;4654.52.00;0,056944444;109.98;2.36%;92.39%;01.37;0,049305556;;;;
ID-RI;Riau;44;2;169;-127;28316;670;26289;1357;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;07.24;4661.76;00.33;110.30.00;2.37%;92.84%;00.29;00.40;;;;
ID-RI;Riau;132;9;99;24;28448;679;26388;1381;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;0,925694444;4683.49.00;01.48;111.79;2.39%;92.76%;03.00;04.50;;;;
ID-RI;Riau;129;2;159;-32;28577;681;26547;1349;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;21.24;4704.73;00.33;112.12.00;2.38%;92.90%;0,068055556;00.22;;;;
ID-RI;Riau;116;1;116;-1;28693;682;26663;1348;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;19.10;4723.83;00.16;112.28.00;2.38%;92.93%;0,0625;00.50;;;;
ID-RI;Riau;96;2;148;-54;28789;684;26811;1294;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;0,680555556;4739.63;00.33;112.61;2.38%;93.13%;0,057638889;02.00;;;;
ID-RI;Riau;81;5;156;-80;25262;596;23505;1161;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;13.34;4158.97;0,056944444;98.12.00;2.36%;93.04%;01.19;0,057638889;;;;
ID-RI;Riau;89;2;130;-43;28878;686;26941;1251;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;0,628472222;4754.28.00;00.33;112.94;2.38%;93.29%;0,064583333;01.00;;;;
ID-RI;Riau;130;1;140;-11;29008;687;27081;1240;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;21.40;4775.69;00.16;113.10.00;2.37%;93.36%;01.46;00.50;;;;
ID-RI;Riau;110;2;96;12;25372;598;23601;1173;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;18.11;4177.08.00;00.33;98.45.00;2.36%;93.02%;01.36;00.40;;;;
ID-RI;Riau;160;2;92;66;25532;600;23693;1239;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;26.34.00;4203.42.00;00.33;98.78;2.35%;92.80%;01.45;01.00;;;;
ID-RI;Riau;169;1;115;53;25701;601;23808;1292;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;27.82;4231.24.00;00.16;98.94;2.34%;92.63%;01.06;00.50;;;;
ID-RI;Riau;139;1;93;45;25840;602;23901;1337;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;0,977777778;4254.13.00;00.16;99.11.00;2.33%;92.50%;0,056944444;01.00;;;;
ID-RI;Riau;192;5;114;73;26032;607;24015;1410;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;31.61;4285.74;0,056944444;99.93;2.33%;92.25%;01.38;05.00;;;;
ID-RI;Riau;134;7;153;-26;26166;614;24168;1384;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;22.06;4307.80;01.15;101.08.00;2.35%;92.36%;0,048611111;01.40;;;;
ID-RI;Riau;259;7;271;-19;7889;166;4204;3519;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;42.64;1298.79;01.15;27.33.00;2.10%;53.29%;0,050694444;01.00;;;;
ID-RI;Riau;233;9;153;71;9669;219;6081;3369;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;38.36.00;1591.84;01.48;36.05.00;2.26%;62.89%;01.15;01.50;;;;
ID-RI;Riau;307;5;108;194;9976;224;6189;3563;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;50.54.00;1642.38.00;0,056944444;36.88;2.25%;62.04%;01.32;00.56;;;;
